Date Time, Monitor ID, Location ID, O3(ppm)
13 dic 2019 14:20,1,1,0,096
13 dic 2019 14:21,1,1,0,083
13 dic 2019 14:22,1,1,0,044
13 dic 2019 14:23,1,1,0,028
13 dic 2019 14:24,1,1,0,023
13 dic 2019 14:25,1,1,0,020
13 dic 2019 14:26,1,1,0,019
13 dic 2019 14:27,1,1,0,019
13 dic 2019 14:28,1,1,0,019
13 dic 2019 14:29,1,1,0,018
13 dic 2019 14:30,1,1,0,018
13 dic 2019 14:31,1,1,0,018
13 dic 2019 14:32,1,1,0,045
13 dic 2019 14:33,1,1,0,069
13 dic 2019 14:34,1,1,0,081
13 dic 2019 14:35,1,1,0,087
13 dic 2019 14:36,1,1,0,092
13 dic 2019 14:37,1,1,0,094
13 dic 2019 14:38,1,1,0,096
13 dic 2019 14:39,1,1,0,097
13 dic 2019 14:40,1,1,0,098
13 dic 2019 14:41,1,1,0,098
13 dic 2019 14:42,1,1,0,056
13 dic 2019 14:43,1,1,0,035
13 dic 2019 14:44,1,1,0,025
13 dic 2019 14:45,1,1,0,022
13 dic 2019 14:46,1,1,0,020
13 dic 2019 14:47,1,1,0,020
13 dic 2019 14:48,1,1,0,019
13 dic 2019 14:49,1,1,0,018
13 dic 2019 14:50,1,1,0,019
13 dic 2019 14:51,1,1,0,018
13 dic 2019 14:52,1,1,0,018
13 dic 2019 14:53,1,1,0,018
13 dic 2019 14:54,1,1,0,018
13 dic 2019 14:55,1,1,0,017
13 dic 2019 14:56,1,1,0,017
13 dic 2019 14:57,1,1,0,018
13 dic 2019 14:58,1,1,0,018
13 dic 2019 14:59,1,1,0,018
13 dic 2019 15:00,1,1,0,018
13 dic 2019 15:01,1,1,0,018
13 dic 2019 15:02,1,1,0,017
13 dic 2019 15:03,1,1,0,054
13 dic 2019 15:04,1,1,0,069
13 dic 2019 15:05,1,1,0,079
13 dic 2019 15:06,1,1,0,086
13 dic 2019 15:07,1,1,0,091
13 dic 2019 15:08,1,1,0,093
13 dic 2019 15:09,1,1,0,097
13 dic 2019 15:10,1,1,0,099
13 dic 2019 15:11,1,1,0,085
13 dic 2019 15:12,1,1,0,045
13 dic 2019 15:13,1,1,0,030
13 dic 2019 15:14,1,1,0,023
13 dic 2019 15:15,1,1,0,020
13 dic 2019 15:16,1,1,0,019
13 dic 2019 15:17,1,1,0,019
13 dic 2019 15:18,1,1,0,019
13 dic 2019 15:19,1,1,0,018
13 dic 2019 15:20,1,1,0,019
13 dic 2019 15:21,1,1,0,018
13 dic 2019 15:22,1,1,0,048
13 dic 2019 15:23,1,1,0,071
13 dic 2019 15:24,1,1,0,084
13 dic 2019 15:25,1,1,0,090
13 dic 2019 15:26,1,1,0,095
13 dic 2019 15:27,1,1,0,097
13 dic 2019 15:28,1,1,0,098
13 dic 2019 15:29,1,1,0,100
13 dic 2019 15:30,1,1,0,100
13 dic 2019 15:31,1,1,0,102
13 dic 2019 15:32,1,1,0,058
13 dic 2019 15:33,1,1,0,035
13 dic 2019 15:34,1,1,0,026
13 dic 2019 15:35,1,1,0,022
13 dic 2019 15:36,1,1,0,020
13 dic 2019 15:37,1,1,0,020
13 dic 2019 15:38,1,1,0,019
13 dic 2019 15:39,1,1,0,018
13 dic 2019 15:40,1,1,0,018
13 dic 2019 15:41,1,1,0,018
13 dic 2019 15:42,1,1,0,027
13 dic 2019 15:43,1,1,0,024
13 dic 2019 15:44,1,1,0,023
